H44005021    K577-FT  00000999BVTI_00684400502120220306183327.DAT 0068B02235    
D000001G03CA0000000020220306080824  0000000000000000000000000000000000000000000000000                                00000000T00000000000000000000000000                000000000000000000000000                        00000000    20180412000000000000                D000000000000                                                                         
D000002A09700001000020220306080016A1000000003000000000150000000000200000000000000000952B2B01747880400C81400200000001900065300T00000000000020220306145005402000677531000400000000500000001500000020220228                00000000    201804120000005615005036012326977449D000000000000                                                                A2DBECD4 
D000003A09700001000020220306080018A2000000003000000000150000000000200000000000000000902A6B71704880400C81400200000001900045600T00000000000020220306145007402000677531000400000000500000001500000020220228        2030113000000000    201804120000006866005036012326977449D000000000000                                                                487E04BE 
D000004A09700001000020220306080020A30002000230000000001100000000001100000000000000009D28AB417FB880400C81400200000001900051600T00000000000020220306145009402000677531000400000000000000100000099920220303        2032030100000000    201804120000008608005036012326977449D000000000000                                                                6CD97180 
D000005A09700001000020220306080023A40002000330000000001100000000001100000000000000009A2CBB317CD880400C81400200000001900041400T00000000000020220306145011402000677531000400000000000000002000010020220214        2032030100000000    201804120000008363005036012326977449D000000000000                                                                45C97D97 
D000006A09700001000020220306080025A50002000431000000001100000000001100000000000000009F2A2B017F7880400C81400200000001900042600T00000000000020220306145012402000677531000400000000000000001600000020220228        2032030100000000    201804120000008048005036012326977449D000000000000                                                                00064A2F 
D000007E09700001000020220306160101A1000000003000000000050000000000050000000000000000952B2B01747880400C81400200000001900065400T000000000000202203060800165021006803CA000400000000000000001500000020220228                00000000    201804120000005600005036012326977449D000000000000                                                                D36F65C1 
D000008A09700001000020220306160102A1000000003000000000150000000000200000000000000000952B2B01747880400C81400200000001900065500T000000000000202203061601015021006803CA000400000000500000001500000020220228                00000000    201804120000005595005036012326977449D000000000000                                                                14CEA0D3 
D000009E09700001000020220306160105A2000000003000000000050000000000050000000000000000902A6B71704880400C81400200000001900045700T000000000000202203060800185021006803CA000400000000000000001500000020220228        2030113000000000    201804120000006851005036012326977449D000000000000                                                                1A286D92 
D000010A09700001000020220306160106A2000000003000000000150000000000200000000000000000902A6B71704880400C81400200000001900045800T000000000000202203061601055021006803CA000400000000500000001500000020220228        2030113000000000    201804120000006846005036012326977449D000000000000                                                                603A758A 
D000011E09700001000020220306160107A30002000230000000000000000000000000000000000000009D28AB417FB880400C81400200000001900051700T000000000000202203060800205021006803CA000400000000000000100000099920220303        2032030100000000    201804120000008597005036012326977449D000000000000                                                                74D2D841 
